city_code,city,risk,cases
420100,武汉市,359.0394855,7617.477007
440300,深圳市,183.1082121,3886.388497
440100,广州市,118.070311,2507.087587
310000,上海市,110.3257563,2342.843796
441900,东莞市,97.01488577,2060.55154
320500,苏州市,75.01814618,1594.05243
110000,北京市,74.68160055,1586.915089
330100,杭州市,64.53685104,1371.768813
330300,温州市,51.04622285,1085.664319
330200,宁波市,44.35376067,943.7329374
440600,佛山市,36.43326144,775.7577781
330700,金华市,23.03414628,491.5940609
442000,中山市,21.57338015,460.614647
320100,南京市,20.52537505,438.3889237
320200,无锡市,19.73263328,421.5767354
330400,嘉兴市,18.18829405,388.8249326
350200,厦门市,16.92556932,362.0455111
331000,台州市,15.96337333,341.6395973
441300,惠州市,15.5379193,332.616718
120000,天津市,14.41178039,308.7339605
350100,福州市,10.07852727,216.8358538
350500,泉州市,8.219542716,177.4111638
320400,常州市,7.740320857,167.2479953
330600,绍兴市,6.821806543,147.7684671
440400,珠海市,4.80280803,104.9502574
510100,成都市,3.49731169,77.26375061
330500,湖州市,3.023955472,67.22497859
610100,西安市,1.364726485,32.03663433
430100,长沙市,1.222606075,29.02259471
321100,镇江市,1.011848746,24.55292748
450600,防城港市,0.807079668,20.21025695
331100,丽水市,0.722241751,18.41104428
330900,舟山市,0.709969425,18.15077711
320600,南通市,0.464520677,12.94538646
540300,昌都市,0.443971038,12.50957695
350600,漳州市,0.24731069,8.338873527
513300,甘孜藏族自治州,0.063103734,4.432277261
533100,德宏傣族景颇族自治州,0.056252594,4.286980693
533300,怒江傈僳族自治州,0.043559452,4.017789008
540400,林芝市,0.040193628,3.946407783
460300,三沙市,0.03510318,3.83845137
152900,阿拉善盟,0.034356378,3.822613455
540500,山南市,0.008679992,3.278077691
542500,阿里地区,0.003017576,3.157991167
659009,昆玉市,-0.004658952,2.995190058
659005,北屯市,-0.007110261,2.943203564
653200,和田地区,-0.013426898,2.809242546
540600,那曲市,-0.021888546,2.629790909
540200,日喀则市,-0.036297012,2.324221231
659002,阿拉尔市,-0.03653502,2.319173633
659006,铁门关市,-0.036839968,2.312706411
232700,大兴安岭地区,-0.038914281,2.268715113
632500,海南藏族自治州,-0.049885303,2.036045531
659003,图木舒克市,-0.050507288,2.022854696
230900,七台河市,-0.069683565,1.61617096
659008,可克达拉市,-0.071096678,1.586202161
632700,玉树藏族自治州,-0.077955942,1.440733312
653000,克孜勒苏柯尔克孜自治州,-0.082745836,1.339150916
632600,果洛藏族自治州,-0.084022191,1.312082439
533400,迪庆藏族自治州,-0.084914893,1.293150317
469001,五指山市,-0.094140869,1.097489072
632200,海北藏族自治州,-0.096120999,1.05549518
650200,克拉玛依市,-0.109922031,0.762807749
659007,双河市,-0.112352698,0.711259015
623000,甘南藏族自治州,-0.132571558,0.282464538
231100,黑河市,-0.141838425,0.085936096
150300,乌海市,-0.169639065,-0.503650101
659004,五家渠市,-0.174134539,-0.598988528
469025,白沙黎族自治县,-0.190809924,-0.952634221
632300,黄南藏族自治州,-0.191081043,-0.958384016
469030,琼中黎族苗族自治县,-0.204530778,-1.243621255
654300,阿勒泰地区,-0.218587019,-1.541721074
211100,盘锦市,-0.236477701,-1.92114036
540100,拉萨市,-0.245810513,-2.119067335
510400,攀枝花市,-0.259215163,-2.403348448
513200,阿坝藏族羌族自治州,-0.271553461,-2.66501473
152500,锡林郭勒盟,-0.2816848,-2.8798766
230300,鸡西市,-0.28733682,-2.999742649
220400,辽源市,-0.299839913,-3.264903829
530500,保山市,-0.337963825,-4.073422337
152200,兴安盟,-0.338412921,-4.082946613
469026,昌江黎族自治县,-0.352145833,-4.374189378
220600,白山市,-0.359785753,-4.536214103
230400,鹤岗市,-0.382899491,-5.026402138
632800,海西蒙古族藏族自治州,-0.387130407,-5.116129903
530800,普洱市,-0.391676058,-5.21253248
659001,石河子市,-0.408968779,-5.57927042
620200,嘉峪关市,-0.420222506,-5.817935486
530900,临沧市,-0.434427158,-6.119182757
652800,巴音郭楞蒙古自治州,-0.441788445,-6.275298335
610200,铜川市,-0.455511218,-6.566326067
211000,辽阳市,-0.484919591,-7.190008503
650400,吐鲁番市,-0.489199158,-7.280768055
210800,营口市,-0.489600107,-7.289271232
220800,白城市,-0.501879429,-7.549686768
640200,石嘴山市,-0.511510858,-7.753946719
419001,济源市,-0.519594308,-7.925377695
469022,屯昌县,-0.524322574,-8.025653093
230700,伊春市,-0.549267687,-8.554680269
222400,延边朝鲜族自治州,-0.551210501,-8.595882782
652700,博尔塔拉蒙古自治州,-0.573002898,-9.058048254
653100,喀什地区,-0.574659108,-9.093172571
620300,金昌市,-0.601134889,-9.654661626
210500,本溪市,-0.60372519,-9.709595806
150800,巴彦淖尔市,-0.617106114,-9.993373744
230200,齐齐哈尔市,-0.62660287,-10.19477759
622900,临夏回族自治州,-0.627074464,-10.20477899
211400,葫芦岛市,-0.632114648,-10.31166943
230600,大庆市,-0.642352201,-10.52878387
150600,鄂尔多斯市,-0.682075091,-11.37121292
654200,塔城地区,-0.692773417,-11.59809926
210600,丹东市,-0.742797673,-12.65899607
469029,保亭黎族苗族自治县,-0.821716835,-14.33268589
640300,吴忠市,-0.860378869,-15.15261668
652900,阿克苏地区,-0.865412725,-15.25937293
210400,抚顺市,-0.888633058,-15.75182157
650500,哈密市,-0.892658858,-15.83719934
210900,阜新市,-0.893375572,-15.85239915
150700,呼伦贝尔市,-0.906552788,-16.13185691
640500,中卫市,-0.907569974,-16.15342904
210700,锦州市,-0.959999189,-17.26532936
130300,秦皇岛市,-0.998311521,-18.07784381
445100,潮州市,-1.008270964,-18.28906018
630200,海东市,-1.015084095,-18.43355066
211200,铁岭市,-1.020887185,-18.55662054
532800,西双版纳傣族自治州,-1.022083912,-18.58200031
469021,定安县,-1.025097086,-18.64590264
610600,延安市,-1.03460637,-18.8475722
150500,通辽市,-1.049761454,-19.16897588
469007,东方市,-1.05376505,-19.25388272
220700,松原市,-1.056410996,-19.30999703
610800,榆林市,-1.058877175,-19.36229888
532600,文山壮族苗族自治州,-1.097344806,-20.17810686
371000,威海市,-1.107828414,-20.40043953
230500,双鸭山市,-1.109340168,-20.43250027
231000,牡丹江市,-1.119510643,-20.64819212
620700,张掖市,-1.14432801,-21.1745101
520100,贵阳市,-1.150657423,-21.30874208
370200,青岛市,-1.172046286,-21.76234955
211300,朝阳市,-1.182074749,-21.97502965
620900,酒泉市,-1.182572337,-21.98558233
371200,莱芜市,-1.194975626,-22.24862692
150900,乌兰察布市,-1.210487574,-22.57759884
469024,临高县,-1.210595087,-22.57987894
510300,自贡市,-1.21234476,-22.61698541
710000,花莲县,-1.228358464,-22.9565984
469028,陵水黎族自治县,-1.240658253,-23.21744798
530400,玉溪市,-1.261262141,-23.65440798
150200,包头市,-1.284257458,-24.14208457
220500,通化市,-1.300596963,-24.48860704
640400,固原市,-1.300648956,-24.48970969
220300,四平市,-1.318707348,-24.87268572
652300,昌吉回族自治州,-1.324639106,-24.99848436
511800,雅安市,-1.344140277,-25.41205832
654000,伊犁哈萨克自治州,-1.346559206,-25.46335811
469005,文昌市,-1.373051317,-26.02519347
469027,乐东黎族自治县,-1.376750227,-26.10363867
513400,凉山彝族自治州,-1.384320295,-26.264182
532300,楚雄彝族自治州,-1.390253033,-26.39000143
530100,昆明市,-1.398497618,-26.56484967
220100,长春市,-1.426137293,-27.15102217
640100,银川市,-1.433169908,-27.30016741
341000,黄山市,-1.517540353,-29.08946609
440500,汕头市,-1.535381163,-29.46782772
340100,合肥市,-1.542462091,-29.61799754
530600,昭通市,-1.544859788,-29.66884706
140300,阳泉市,-1.574431531,-30.29599416
440700,江门市,-1.58911929,-30.60748698
621200,陇南市,-1.615316114,-31.16306001
210300,鞍山市,-1.641706664,-31.7227415
460400,儋州市,-1.719623089,-33.37516562
469023,澄迈县,-1.746672786,-33.94882608
370500,东营市,-1.751165476,-34.04410545
350900,宁德市,-1.771339318,-34.47194518
230800,佳木斯市,-1.834528729,-35.81204397
620600,武威市,-1.870603228,-36.57709925
360500,新余市,-1.958328705,-38.43755029
510800,广元市,-1.98071504,-38.9123118
371100,日照市,-1.985975489,-39.02387354
532500,红河哈尼族彝族自治州,-2.011458836,-39.56431539
451400,崇左市,-2.014880101,-39.63687239
469002,琼海市,-2.016364792,-39.66835918
371600,滨州市,-2.031291846,-39.98492688
130800,承德市,-2.031531959,-39.99001912
530700,丽江市,-2.125863192,-41.99056271
469006,万宁市,-2.126305355,-41.99993995
130700,张家口市,-2.211893719,-43.81506784
131000,廊坊市,-2.338496351,-46.50001188
150100,呼和浩特市,-2.417905076,-48.18408418
620400,白银市,-2.48367513,-49.57891233
510500,泸州市,-2.511744797,-50.17420394
321000,扬州市,-2.521171083,-50.3741133
532900,大理白族自治州,-2.578120124,-51.58186851
140600,朔州市,-2.657651597,-53.26854399
522300,黔西南布依族苗族自治州,-2.662998493,-53.38193907
220200,吉林市,-2.681938303,-53.7836079
630100,西宁市,-2.684294553,-53.83357841
231200,绥化市,-2.685949397,-53.86867378
520400,安顺市,-2.724210821,-54.68010858
810000,香港,-2.788757457,-56.04899091
460200,三亚市,-2.790550977,-56.08702726
510600,德阳市,-2.869176677,-57.75449343
621000,庆阳市,-2.894563727,-58.29289303
820000,澳门,-2.896737752,-58.33899899
620800,平凉市,-2.938605472,-59.22691487
511000,内江市,-2.983235191,-60.17340623
522700,黔南布依族苗族自治州,-3.005625743,-60.64825718
512000,资阳市,-3.03005718,-61.16639048
511400,眉山市,-3.041319399,-61.40523567
350800,龙岩市,-3.081732906,-62.26231109
451000,百色市,-3.109376018,-62.84855647
451300,来宾市,-3.11084985,-62.87981299
341800,宣城市,-3.157849911,-63.87657374
511100,乐山市,-3.166701545,-64.06429608
370300,淄博市,-3.199069875,-64.75075223
411200,三门峡市,-3.199255803,-64.75469531
621100,定西市,-3.21319605,-65.05033518
210200,大连市,-3.217759353,-65.1471121
611000,商洛市,-3.2469742,-65.76669029
370100,济南市,-3.26080584,-66.06002684
360200,景德镇市,-3.278768493,-66.44097247
445300,云浮市,-3.278991909,-66.44571059
350300,莆田市,-3.289839905,-66.67577108
370400,枣庄市,-3.307191449,-67.04375651
340600,淮北市,-3.312718767,-67.16097792
140900,忻州市,-3.403322779,-69.0824759
360600,鹰潭市,-3.477996828,-70.66613685
150400,赤峰市,-3.571613601,-72.65152841
330800,衢州市,-3.591794138,-73.07951014
441500,汕尾市,-3.638520138,-74.07045869
450200,柳州市,-3.67506641,-74.84551917
130200,唐山市,-3.686693661,-75.09210581
520200,六盘水市,-3.706390599,-75.50983154
140200,大同市,-3.716043572,-75.71454839
141100,吕梁市,-3.716932762,-75.73340603
441700,阳江市,-3.747512301,-76.38192613
360300,萍乡市,-3.766533389,-76.78531867
140500,晋城市,-3.794743417,-77.38358701
410600,鹤壁市,-3.847653007,-78.50567496
320800,淮安市,-3.86715977,-78.91936753
510900,遂宁市,-3.873727576,-79.05865525
450500,北海市,-3.928092714,-80.21161196
410100,郑州市,-3.950766383,-80.69246714
460100,海口市,-4.051067315,-82.819614
350700,南平市,-4.09712046,-83.79629289
429021,神农架林区,-4.154188085,-85.00656299
140400,长治市,-4.23561663,-86.73347091
321200,泰州市,-4.297582082,-88.0476124
511500,宜宾市,-4.367413091,-89.52856384
650100,乌鲁木齐市,-4.400006859,-90.21980101
370600,烟台市,-4.44774554,-91.23222616
610300,宝鸡市,-4.474601718,-91.80178251
441600,河源市,-4.489194319,-92.11125727
140100,太原市,-4.523191504,-92.83225759
320700,连云港市,-4.526795825,-92.90869676
430800,张家界市,-4.527285843,-92.9190889
510700,绵阳市,-4.614656915,-94.77202384
451200,河池市,-4.621317561,-94.91328047
340500,马鞍山市,-4.641847115,-95.34866402
340400,淮南市,-4.649269145,-95.50606782
341700,池州市,-4.658582158,-95.70357492
371400,德州市,-4.674460427,-96.04031566
451100,贺州市,-4.676793666,-96.08979817
370900,泰安市,-4.797049659,-98.64014493
610700,汉中市,-4.812755373,-98.97322619
340300,蚌埠市,-4.894550967,-100.7079184
350400,三明市,-5.053650269,-104.0820403
511900,巴中市,-5.061397378,-104.2463383
620100,兰州市,-5.082437671,-104.6925534
141000,临汾市,-5.12593322,-105.6149917
370700,潍坊市,-5.315427175,-109.6337128
131100,衡水市,-5.351096805,-110.3901818
440200,韶关市,-5.366639685,-110.7198097
620500,天水市,-5.367034709,-110.7281872
371500,聊城市,-5.454338398,-112.5796931
321300,宿迁市,-5.50059902,-113.5607721
530300,曲靖市,-5.516044735,-113.8883394
450700,钦州市,-5.63462516,-116.4031513
210100,沈阳市,-5.649880062,-116.7266719
445200,揭阳市,-5.774387536,-119.3671826
450400,梧州市,-5.840873413,-120.7771916
410800,焦作市,-6.032430941,-124.8396763
340700,铜陵市,-6.189089937,-128.1620451
441400,梅州市,-6.36706238,-131.936422
130100,石家庄市,-6.404369627,-132.727621
433100,湘西土家族苗族自治州,-6.444807336,-133.5852097
370800,济宁市,-6.707063402,-139.147044
522600,黔东南苗族侗族自治州,-6.738871432,-139.8216175
610500,渭南市,-6.844566394,-142.063159
341100,滁州市,-6.876010121,-142.7300065
410900,濮阳市,-7.233874841,-150.3194755
320900,盐城市,-7.254299887,-150.7526427
340200,芜湖市,-7.340588863,-152.5826289
520600,铜仁市,-7.44364214,-154.7681466
610400,咸阳市,-7.449021671,-154.8822338
511600,广安市,-7.459209909,-155.0983023
441200,肇庆市,-7.488659755,-155.7228643
450100,南宁市,-7.538049344,-156.7703013
430300,湘潭市,-7.546212764,-156.9434283
511300,南充市,-7.894608361,-164.3320794
130600,保定市,-7.937943678,-165.2511196
610900,安康市,-8.188519715,-170.5652479
441800,清远市,-8.372359566,-174.4640588
371300,临沂市,-8.407441743,-175.2080692
230100,哈尔滨市,-8.69067395,-181.2147582
140700,晋中市,-8.892579345,-185.4966967
450300,桂林市,-8.930161111,-186.2937176
140800,运城市,-9.359302783,-195.3948031
520300,遵义市,-9.759212207,-203.8759414
450800,贵港市,-9.899490154,-206.8509067
130900,沧州市,-9.920721816,-207.3011803
450900,玉林市,-10.20869843,-213.4084869
320300,徐州市,-10.24907449,-214.2647683
440900,茂名市,-10.57192453,-221.1116583
410200,开封市,-10.57815796,-221.2438547
430200,株洲市,-10.66443001,-223.0734819
410400,平顶山市,-10.69543376,-223.7309985
440800,湛江市,-11.04184194,-231.0775012
431000,郴州市,-11.23451841,-235.1637159
431200,怀化市,-11.28743936,-236.2860449
341600,亳州市,-11.38729367,-238.4037199
341300,宿州市,-11.54563122,-241.761687
130500,邢台市,-11.80952144,-247.3581778
410700,新乡市,-11.98091485,-250.9930288
410500,安阳市,-12.21821592,-256.0256265
410300,洛阳市,-12.33158701,-258.4299606
360100,南昌市,-12.35254713,-258.8744754
511700,达州市,-12.37969259,-259.4501667
411000,许昌市,-12.44612317,-260.8590031
411100,漯河市,-12.57822372,-263.6605451
130400,邯郸市,-12.7217811,-266.7050596
431100,永州市,-13.29322211,-278.8239792
360800,吉安市,-13.44818744,-282.1104294
361000,抚州市,-14.46786958,-303.7354894
371700,菏泽市,-14.5429526,-305.3278235
341500,六安市,-15.33066328,-322.0333144
430900,益阳市,-15.91115548,-334.3441885
431300,娄底市,-16.21112487,-340.7058339
360700,赣州市,-16.87577886,-354.8015816
361100,上饶市,-19.06378144,-401.2039701
520500,毕节市,-19.07355926,-401.4113346
430500,邵阳市,-19.90096853,-418.9587391
430400,衡阳市,-20.80149741,-438.0568386
360900,宜春市,-25.2925606,-533.3017258
430700,常德市,-27.36983555,-577.3558416
430600,岳阳市,-29.92288169,-631.4999453
411400,商丘市,-31.74896615,-670.2269017
360400,九江市,-31.80695529,-671.4567149
341200,阜阳市,-32.11294867,-677.9461149
340800,安庆市,-36.2480022,-765.6408744
411600,周口市,-43.12947587,-911.5807454
411700,驻马店市,-50.83669035,-1075.032637
411300,南阳市,-55.7206303,-1178.609516
429005,潜江市,-61.34480418,-1297.885016
500000,重庆市,-82.77713127,-1752.414264
411500,信阳市,-91.3272402,-1933.741964
420300,十堰市,-99.42198328,-2105.412425
420700,鄂州市,-103.7293426,-2196.761385
422800,恩施土家族苗族自治州,-114.742443,-2430.323342
429006,天门市,-136.2502331,-2886.452982
420500,宜昌市,-151.1647174,-3202.754114
420200,黄石市,-162.660465,-3446.551883
429004,仙桃市,-171.7188823,-3638.659608
420800,荆门市,-190.5680263,-4038.405618
421300,随州市,-198.8024184,-4213.037707
421200,咸宁市,-209.6187029,-4442.425662
420600,襄阳市,-228.0578753,-4833.477138
421000,荆州市,-383.5162303,-8130.383203
420900,孝感市,-704.1535085,-14930.34572
421100,黄冈市,-753.2641806,-15971.86757